team,score,runs,wickets,match_datetime,team1,team2,match_status
Mumbai Indians,0/0,0,0,Unknown,Cricket scorecard - Mumbai Indians,"Royal Challengers Bangalore, 1st Match, Indian Premier League 2021 | Cricbuzz.com",completed
Unknown,0/0,0,0,Unknown,Cricket scorecard - Mumbai Indians,"Royal Challengers Bangalore, 1st Match, Indian Premier League 2021 | Cricbuzz.com",completed
Unknown,0/0,0,0,Unknown,Cricket scorecard - Mumbai Indians,"Royal Challengers Bangalore, 1st Match, Indian Premier League 2021 | Cricbuzz.com",completed
Royal Challengers Bangalore,0/0,0,0,Unknown,Cricket scorecard - Mumbai Indians,"Royal Challengers Bangalore, 1st Match, Indian Premier League 2021 | Cricbuzz.com",completed
Unknown,0/0,0,0,Unknown,Cricket scorecard - Mumbai Indians,"Royal Challengers Bangalore, 1st Match, Indian Premier League 2021 | Cricbuzz.com",completed
Unknown,0/0,0,0,Unknown,Cricket scorecard - Mumbai Indians,"Royal Challengers Bangalore, 1st Match, Indian Premier League 2021 | Cricbuzz.com",completed
